regra_tipo,valor_origem,grupo_harmonizado,racional,aplicacao
ROTULO_ORIGINAL,Loja de Roupas  e Assessórios,MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas (de cama) e ultilizades,CASA_UTILIDADES_PRESENTES_DECORACAO,"Casa, utilidades, presentes e decoração; Tottal foi resolvida por fonte de primeira parte.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas (esportivas),MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas (Infantil até 12 meses),MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas (Uniformes com pronta entrega),MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas e Assessórios,MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,"Loja de Roupas e Assessórios (obs. cnpj baixado, instagram atualizado)",MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas e Eletrodomésticos,MISTO_MULTISSEGMENTO,Rótulo original cruza dois grupos analíticos sem base suficiente para forçar primazia.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas e sapatos,MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas e Sapatos,MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Roupas e Sapatos (espotivos),MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,"Loja de Roupas, Sapatos e Assessórios",MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de Sapatos,MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja de ultilidades e presentes,CASA_UTILIDADES_PRESENTES_DECORACAO,"Casa, utilidades, presentes e decoração; Tottal foi resolvida por fonte de primeira parte.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja franca / varejo misto,LOJA_FRANCA_DUTY_FREE,Lojas francas/duty free preservadas como categoria própria por mix amplo.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Loja maçônica,FORA_ESCOPO_BNE_COMERCIAL,Linha excluída do universo BNE comercial no lote 19.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Lojas de departamentos ou magazines,DEPARTAMENTOS_MAGAZINES,Loja de departamentos/magazine.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Lojas de Duty free,LOJA_FRANCA_DUTY_FREE,Lojas francas/duty free preservadas como categoria própria por mix amplo.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Óptica,JOALHERIA_OPTICA_RELOJOARIA,"Joalheria, óptica e relojoaria consolidadas em um grupo especializado.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Papelaria,PAPELARIA,Papelaria especializada.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,PENDENTE_CLASSIFICACAO_MERCADOLOGICA,CASA_UTILIDADES_PRESENTES_DECORACAO,"Casa, utilidades, presentes e decoração; Tottal foi resolvida por fonte de primeira parte.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Pet Shop,PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Pet Shop (Banho e Tosa),PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Pet Shop e Casa de Rações,PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Pet Shop e Hotel para pets,PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Pet Shop e Loja de Ferragens,MISTO_MULTISSEGMENTO,Rótulo original cruza dois grupos analíticos sem base suficiente para forçar primazia.,Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Pet Shop e Veterinária,PET_VETERINARIA_AGRO,"Rótulos cujo núcleo é pet, veterinária, rações ou agropecuária.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Relojoaria,JOALHERIA_OPTICA_RELOJOARIA,"Joalheria, óptica e relojoaria consolidadas em um grupo especializado.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
ROTULO_ORIGINAL,Vestuário,MODA_CALCADOS_ACESSORIOS,"Rótulos de vestuário, calçados e/ou acessórios consolidados em um grupo de moda.",Aplicar a registros cujo subcategoria_inventario seja exatamente igual ao valor_origem.
OVERRIDE_OPERADOR,Americanas,DEPARTAMENTOS_MAGAZINES,Correção analítica apoiada na reconciliação do lote 19; o CNPJ corrente possui atividade de loja de departamentos/magazine.,Sobrescreve o grupo derivado do rótulo original apenas para a operação Americanas.
